"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"FakeREST API","Authors API","Get specific author","0","0","1","0","0"
"FakeREST API","Books API","Create book","0","0","1","0","0"
"FakeREST API","Authors API","Try to create author with null for first name","0","0","1","0","0"
"FakeREST API","Books API","Try to create book with empty title","0","0","1","0","0"
"FakeREST API","Authors API","Try to get Author by long ID","0","0","1","0","0"
"FakeREST API","Authors API","Try to delete author by providing invalid ID","0","0","1","0","0"
"FakeREST API","Books API","Try to delete book by providing invalid ID","1","0","0","0","0"
"FakeREST API","Authors API","Try to create author with long name","0","0","1","0","0"
"FakeREST API","Authors API","Try to get Author by negative ID","0","0","1","0","0"
"FakeREST API","Authors API","Try to create author with null for last name","0","0","1","0","0"
"FakeREST API","Books API","Try to get Book by negative ID","0","0","1","0","0"
"FakeREST API","Authors API","Try to get Author by other negative ID","0","0","1","0","0"
"FakeREST API","Books API","Try to get Book by other negative ID","0","0","1","0","0"
"FakeREST API","Authors API","Get all authors","0","0","1","0","0"
"FakeREST API","Authors API","Create author","0","0","1","0","0"
"FakeREST API","Books API","Try to get Book by OutOfRangeID","0","0","1","0","0"
"FakeREST API","Authors API","Update author","0","0","1","0","0"
"FakeREST API","Books API","Try to create book with invalid ID","1","0","0","0","0"
"FakeREST API","Books API","Try to create book with long title","0","0","1","0","0"
"FakeREST API","Authors API","Try to create author with null for both names","0","0","1","0","0"
"FakeREST API","Books API","Update author","0","0","1","0","0"
"FakeREST API","Books API","Try to get Book by long ID","0","0","1","0","0"
"FakeREST API","Books API","Try to get Book with 0 for ID","0","0","1","0","0"
"FakeREST API","Authors API","Try to get Author by OutOfRangeID","0","0","1","0","0"
"FakeREST API","Authors API","Try to create author with invalid ID","1","0","0","0","0"
"FakeREST API","Books API","Get specific book","0","0","1","0","0"
"FakeREST API","Books API","Try to create book with invalid data","0","0","1","0","0"
"FakeREST API","Books API","Delete author","1","0","0","0","0"
"FakeREST API","Authors API","Try to get Author with 0 for ID","0","0","1","0","0"
"FakeREST API","Books API","Try to create book with empty description","0","0","1","0","0"
"FakeREST API","Books API","Try to create book with null data","0","0","1","0","0"
"FakeREST API","Authors API","Try to create author with invalid data","0","0","1","0","0"
"FakeREST API","Authors API","Try to create author with empty names","0","0","1","0","0"
"FakeREST API","Books API","Get author and update author","1","0","0","0","0"
"FakeREST API","Authors API","Get and then update author","1","0","0","0","0"
"FakeREST API","Books API","Get all books","0","0","1","0","0"
"FakeREST API","Authors API","Delete author","1","0","0","0","0"
